Scenario,TicketName,TicketSummary,TicketDescription
create ticket1,Ticket001,Account Locked,"I tried to sign in several times today and now my account shows as locked. I believe the lock was triggered after multiple failed attempts while I was resetting my password. Please unlock my account and let me know if any extra verification is needed."
create ticket1,Ticket002,Account Setup,"I just created an account and I am trying to complete the initial setup steps. The onboarding screen stops after profile details and I cannot enable the new account features I need. Please help me finish the setup and confirm my profile is active."
create ticket1,Ticket003,form-addition,"I need a new form added to my profile so I can capture additional information. The current list does not include the fields required for my workflow. Please add the form and confirm when it is available to use."
create ticket1,Ticket004,login issues,"I am having trouble logging in even though I am using the correct credentials. The system sometimes asks for MFA but the code never arrives. Please check the login and MFA flow for my account."
create ticket1,Ticket005,password-reset,"I forgot my password and the reset link is not working for me. The link opens but returns an error after I submit a new password. Please reset my password or resend a valid link."
create ticket1,Ticket006,Account Locked,"I attempted to access my account and received a message that it is locked. I was trying different passwords after forgetting mine and I must have hit the limit. Please unlock it so I can continue my work."
create ticket1,Ticket007,Account Setup,"I am onboarding a new account and the profile creation step will not save. The system keeps asking me to complete setup again after I submit the form. Please assist with completing the setup and activating the account."
create ticket1,Ticket008,form-addition,"I am requesting a new document form to be added to my profile. I need a few additional data fields to record the information I collect daily. Please add the form and let me know when I can start using it."
create ticket1,Ticket009,login issues,"I cannot log in even though I am sure my username and password are correct. The login page sometimes loops and then returns me to the sign-in screen. Please investigate and restore my access."
create ticket1,Ticket010,password-reset,"I requested a password reset but the email link has expired. I tried again and received the same error after entering a new password. Please send a working reset link or reset it for me."
create ticket1,Ticket011,Account Locked,"My account is locked and I cannot access any pages. I was attempting to sign in from a new device and got locked out after a few tries. Please unlock my account and confirm if a security check is required."
create ticket1,Ticket012,Account Setup,"I created my account today and I cannot finish the onboarding checklist. The setup page freezes when I try to enable my account features. Please help complete setup so I can start using the system."
create ticket1,Ticket013,form-addition,"I need a new form added to capture extra profile information. The existing forms do not include the fields my team needs. Please add the requested form and confirm the rollout."
create ticket1,Ticket014,login issues,"I am experiencing login failures with correct credentials. The system prompts for MFA but no code is delivered to me. Please resolve the authentication issue and restore access."
create ticket1,Ticket015,password-reset,"I forgot my password and the reset workflow is failing. After I submit a new password, the page shows an error and does not update. Please reset my password or provide a working link."
create ticket1,Ticket016,Account Locked,"I was locked out after several failed attempts while I tried to recall my password. Now my account shows as disabled for security reasons. Please unlock it and advise on the next steps."
create ticket1,Ticket017,Account Setup,"I am setting up a new account and the profile creation does not complete. The system saves some fields but then returns me to the start. Please fix the setup flow and activate the account."
create ticket1,Ticket018,form-addition,"I need an additional form added to my profile for new data collection. The standard forms are missing the fields we require for compliance. Please add the form and confirm once it is live."
create ticket1,Ticket019,login issues,"I cannot log in and the system keeps rejecting my credentials. I also tried MFA but the verification code never came through. Please check my login status and fix the MFA delivery."
create ticket1,Ticket020,password-reset,"I tried to reset my password but the link does not accept the new password. The reset page returns an error every time I submit. Please reset my password or generate a new link."
create ticket1,Ticket021,Account Locked,"My account was locked after repeated sign-in attempts. I was trying to access from a different browser and hit the attempt limit. Please unlock my account and confirm if a reset is required."
create ticket1,Ticket022,Account Setup,"I just signed up and the onboarding stops after the profile step. The new account features never show up even after I submit. Please complete the setup and enable the features."
create ticket,Ticket023,form-addition,"I am requesting a new form to capture additional profile fields. The current forms do not cover the data we need for our process. Please add the form and let me know when it is available."
